SigmaPlotDate,YYYY,MM,NPGO,PDO,ONI,Station,Mean(Limacina density),Mean(Log10Density),Mean(AragoniteSat(40m)),Mean(upper 100mArag)
05/16/1996,1996,5,-1.27,2.18,-0.2,NH05,17.3167864,1.2628492809,,
06/16/1996,1996,6,-1.06,1.1,-0.2,NH05,0,0,,
07/16/1996,1996,7,-0.88,0.77,-0.2,NH05,0,0,,
08/16/1996,1996,8,-0.75,-0.14,-0.3,NH05,3.0144035585,0.4234408128,,
09/16/1996,1996,9,-0.93,0.24,-0.3,NH05,0,0,,
10/16/1996,1996,10,-1.04,-0.33,-0.4,NH05,0,0,,
11/16/1996,1996,11,-1.1,0.09,-0.4,NH05,4.629072657,0.7504368543,,
12/16/1996,1996,12,-1.35,-0.03,-0.5,NH05,0,0,,
01/16/1997,1997,1,-1.64,0.23,-0.5,,,,,
02/16/1997,1997,2,-1.11,0.28,-0.4,NH05,0,0,,
03/16/1997,1997,3,-0.62,0.65,-0.2,NH05,0,0,,
04/16/1997,1997,4,-0.51,1.05,0.1,NH05,6.684521745,0.5787139296,,
05/16/1997,1997,5,-0.88,1.83,0.6,NH05,7.9617408733,0.4653138434,,
06/16/1997,1997,6,-0.94,2.76,1,NH05,0,0,,
07/16/1997,1997,7,-0.77,2.35,1.4,NH05,1.470159825,0.1843456074,,
08/16/1997,1997,8,-0.79,2.79,1.7,NH05,5.4865624623,0.4995976706,,
09/16/1997,1997,9,-0.48,2.19,2,NH05,12.910355305,0.976860978,,
10/16/1997,1997,10,-0.59,1.61,2.2,NH05,0,0,,
11/16/1997,1997,11,0.17,1.12,2.3,NH05,19.46241227,1.284425238,,
12/16/1997,1997,12,0.26,0.67,2.3,NH05,0,0,,
01/16/1998,1998,1,0.53,0.83,2.1,NH05,19.89195285,1.319979037,,
02/16/1998,1998,2,1.9,1.56,1.8,,,,,
03/16/1998,1998,3,0.89,2.01,1.4,NH05,0,0,,
04/16/1998,1998,4,0.52,1.27,1,NH05,0,0,,
05/16/1998,1998,5,0.28,0.7,0.5,NH05,34.148026703,1.313426957,,
06/16/1998,1998,6,0.12,0.4,-0.1,NH05,87.28776711,1.9126138306,,
07/16/1998,1998,7,0.39,-0.04,-0.7,NH05,21.253258913,0.9989957656,,
08/16/1998,1998,8,0.27,-0.22,-1,NH05,146.67538323,2.1496162165,0.763582778,0.9856861255
09/16/1998,1998,9,0.04,-1.21,-1.2,NH05,164.88765838,2.1316738544,0.936363627,1.0023294965
10/16/1998,1998,10,0.1,-1.39,-1.2,NH05,1138.452076,3.056696064,,
11/16/1998,1998,11,0.72,-0.52,-1.3,NH05,16.23040247,1.0487035685,1.467826923,1.4466093323
12/16/1998,1998,12,0.77,-0.44,-1.4,NH05,1.575460669,0.410854922,,
01/16/1999,1999,1,1.08,-0.32,-1.4,,,,,
02/16/1999,1999,2,2.3,-0.66,-1.2,NH05,7.576211958,0.9332955059,,1.5782933136
03/16/1999,1999,3,1.97,-0.33,-1,NH05,0,0,,
04/16/1999,1999,4,1.65,-0.41,-0.9,NH05,1.6427880477,0.2576449573,1.041740995,1.5004722372
05/16/1999,1999,5,1.6,-0.68,-0.9,NH05,2.1882065975,0.3652463191,,
06/16/1999,1999,6,1.91,-1.3,-1,NH05,0,0,,
07/16/1999,1999,7,1.38,-0.66,-1,NH05,8.4473741184,0.8105602744,0.6696953775,0.876086016
08/16/1999,1999,8,1.43,-0.96,-1,NH05,0,0,,
09/16/1999,1999,9,1.3,-1.53,-1.1,NH05,0,0,0.805470641,1.0708814908
10/16/1999,1999,10,1.18,-2.23,-1.2,NH05,16.15037074,1.2342735126,,
11/16/1999,1999,11,1.32,-2.05,-1.4,NH05,0,0,,1.7238005174
12/16/1999,1999,12,1.05,-1.63,-1.6,NH05,58.77212354,1.7764986854,,
01/16/2000,2000,1,1.4,-2,-1.6,NH05,0,0,,
02/16/2000,2000,2,2.12,-0.83,-1.4,NH05,1.621145961,0.313800275,1.720905703,1.7227408644
03/16/2000,2000,3,2.15,0.29,-1.1,NH05,0,0,,
04/16/2000,2000,4,2.37,0.35,-0.9,NH05,6.4136245933,0.4354097522,,1.3092351831
05/16/2000,2000,5,2.22,-0.05,-0.7,NH05,1.3596884135,0.2852350905,,
06/16/2000,2000,6,2.1,-0.44,-0.7,NH05,0,0,,
07/16/2000,2000,7,1.66,-0.66,-0.6,NH05,5.068327725,0.5233773918,0.623699253,0.8951574428
08/16/2000,2000,8,1.35,-1.19,-0.5,NH05,0,0,,
09/16/2000,2000,9,1.38,-1.24,-0.6,NH05,22.209465733,0.6100430316,0.6725702,1.4634076713
10/16/2000,2000,10,1.7,-1.3,-0.7,NH05,68.9606538,1.0713844312,,
11/16/2000,2000,11,2.01,-0.53,-0.8,NH05,22.87275768,1.3779025898,,
12/16/2000,2000,12,2.16,0.52,-0.8,NH05,14.94974365,1.2027537073,,
01/16/2001,2001,1,2.86,0.6,-0.7,NH05,26.017415665,0.862280596,1.623627076,1.6359533249
02/16/2001,2001,2,2.96,0.29,-0.6,NH05,10.771284466,1.0576585925,,
03/16/2001,2001,3,2.39,0.45,-0.5,NH05,0,0,1.900949601,1.8828928685
04/16/2001,2001,4,2.2,-0.31,-0.3,NH05,43.674372953,1.6345207918,,
05/16/2001,2001,5,1.95,-0.3,-0.2,NH05,13.979406915,1.1722390644,,
06/16/2001,2001,6,2.35,-0.47,-0.1,NH05,0,0,0.876663104,1.3432148483
07/16/2001,2001,7,1.5,-1.31,0,NH05,0,0,0.731657842,0.8869682059
08/16/2001,2001,8,1.92,-0.77,-0.1,NH05,0,0,,
09/16/2001,2001,9,1.89,-1.37,-0.1,NH05,1.862020043,0.2316895067,,1.0945296518
10/16/2001,2001,10,1.16,-1.37,-0.2,NH05,48.239619255,0.9944560639,,
11/16/2001,2001,11,1.76,-1.26,-0.3,NH05,34.776438165,1.421165921,1.899615526,1.9293128788
12/16/2001,2001,12,2.02,-0.93,-0.3,,,,,
01/16/2002,2002,1,1.86,0.27,-0.2,NH05,0,0,,
02/16/2002,2002,2,2.18,-0.64,-0.1,NH05,7.052654825,0.9059390836,,1.8673493097
03/16/2002,2002,3,1.9,-0.43,0.1,NH05,2.1478184683,0.2905915303,,
04/16/2002,2002,4,0.9,-0.32,0.2,NH05,86.880817757,1.1106413198,,0.7935279074
05/16/2002,2002,5,1.1,-0.63,0.4,NH05,4.2043790967,0.3779860748,,1.5467839736
06/16/2002,2002,6,1.61,-0.35,0.7,NH05,5.4849549688,0.2065061703,,0.9510223695
07/16/2002,2002,7,1.38,-0.31,0.8,NH05,3.9207818275,0.305569366,0.476197598,1.0388648906
08/16/2002,2002,8,0.81,0.6,0.9,NH05,0,0,,
09/16/2002,2002,9,0.82,0.43,1,NH05,0,0,,0.8866975741
10/16/2002,2002,10,0.82,0.42,1.2,NH05,0,0,,
11/16/2002,2002,11,1.66,1.51,1.3,NH05,29.99195995,0.8926076682,,
12/16/2002,2002,12,2.64,2.1,1.1,NH05,28.97449123,1.4767518204,,1.8755976489
01/16/2003,2003,1,1.97,2.09,0.9,NH05,1.211228732,0.3446336688,,
02/16/2003,2003,2,0.99,1.75,0.6,NH05,7.195412179,0.6736031138,1.562707682,1.7844032061
03/16/2003,2003,3,1.49,1.51,0.4,NH05,10.93691773,1.0768922007,,
04/16/2003,2003,4,1.1,1.18,0,NH05,5.8066207727,0.6155650496,1.778072076,1.9730566943
05/16/2003,2003,5,0.92,0.89,-0.2,NH05,6.605362575,0.863463989,,
06/16/2003,2003,6,0.78,0.68,-0.1,NH05,0,0,,
07/16/2003,2003,7,1.2,0.96,0.1,NH05,3.8905530513,0.4591564573,,1.2292119341
08/16/2003,2003,8,0.78,0.88,0.2,NH05,27.771339508,1.3802852205,,
09/16/2003,2003,9,0.87,0.01,0.3,NH05,1.2552651343,0.2260451313,0.633823741,0.8235015845
10/16/2003,2003,10,1.29,0.83,0.4,NH05,18.50826177,1.2883440585,,
11/16/2003,2003,11,-0.11,0.52,0.4,NH05,3.127349495,0.6156712455,,
12/16/2003,2003,12,0.22,0.33,0.4,,,,,
01/16/2004,2004,1,0.27,0.43,0.3,NH05,12.757788608,1.0429069585,,
02/16/2004,2004,2,0.67,0.48,0.2,NH05,2.381576833,0.5291192595,,
03/16/2004,2004,3,0.38,0.61,0.1,NH05,3.8442255957,0.5519169836,,
04/16/2004,2004,4,0.13,0.57,0.1,NH05,17.63747417,1.2703870546,,
05/16/2004,2004,5,0.21,0.88,0.2,NH05,27.914116128,1.4425070016,,
06/16/2004,2004,6,0.78,0.04,0.3,NH05,22.638358938,1.3668217198,0.757149105,0.9534402049
07/16/2004,2004,7,0.41,0.44,0.5,NH05,3.8253367973,0.5523534596,0.583217312,1.2636134503
08/16/2004,2004,8,0.69,0.85,0.7,NH05,4.7875703113,0.4979725638,0.864276923,1.0362960572
09/16/2004,2004,9,0.38,0.75,0.7,NH05,4.7373470475,0.6370878139,0.788919455,1.2541871176
10/16/2004,2004,10,0.04,-0.11,0.7,NH05,0.6617649365,0.1830741302,,
11/16/2004,2004,11,-0.44,-0.63,0.7,NH05,0,0,,
12/16/2004,2004,12,-0.99,-0.17,0.7,NH05,0,0,,
01/16/2005,2005,1,-1.66,0.44,0.6,NH05,0,0,,
02/16/2005,2005,2,-1.49,0.81,0.6,NH05,0,0,,
03/16/2005,2005,3,-1.49,1.36,0.5,NH05,0,0,,
04/16/2005,2005,4,-1.69,1.03,0.5,NH05,1.5147404575,0.3026245516,,
05/16/2005,2005,5,-0.79,1.86,0.4,NH05,2.7225632255,0.4046157212,,
06/16/2005,2005,6,-1.28,1.17,0.2,NH05,0.7108561437,0.165300189,,1.7004299323
07/16/2005,2005,7,-1.66,0.66,0.1,NH05,0,0,,
08/16/2005,2005,8,-1.13,0.25,0,NH05,0,0,,
09/16/2005,2005,9,-1.57,-0.46,0,NH05,4.6157045467,0.3905473442,0.5770081365,0.7800113465
10/16/2005,2005,10,-0.89,-1.32,-0.1,NH05,95.60816914,1.9850138517,,
11/16/2005,2005,11,-1.66,-1.5,-0.4,NH05,12.15185487,1.1189870078,1.764868,1.7949292799
12/16/2005,2005,12,-1.25,0.2,-0.7,NH05,7.984367913,0.9534875281,1.674513754,1.6578851497
01/16/2006,2006,1,-0.65,1.03,-0.7,,,,,
02/16/2006,2006,2,-1.07,0.66,-0.6,NH05,0,0,1.279282294,1.514298669
03/16/2006,2006,3,-0.71,0.05,-0.4,NH05,4.704841863,0.7562436104,1.693433244,1.7426768119
04/16/2006,2006,4,-0.57,0.4,-0.2,NH05,14.961531684,1.1457189919,1.6777432067,1.8031076811
05/16/2006,2006,5,-0.12,0.48,0,NH05,19.298238325,0.8117714063,0.637866202,0.8300623068
06/16/2006,2006,6,-0.13,1.04,0.1,NH05,44.571880138,1.1100459928,0.8068333925,1.1204609356
07/16/2006,2006,7,-0.5,0.35,0.2,NH05,3.9759200095,0.4759561561,0.683162484,0.9519304816
08/16/2006,2006,8,-0.37,-0.65,0.3,NH05,0,0,0.612148784,0.8506319073
09/16/2006,2006,9,-0.34,-0.94,0.5,NH05,10.077924143,0.4040182577,0.5848687723,0.9351184298
10/16/2006,2006,10,-1.05,-0.05,0.8,NH05,0,0,0.6996852155,1.1484166332
11/16/2006,2006,11,-1,-0.22,0.9,NH05,10.64910415,1.0662925281,1.817714603,1.805898762
12/16/2006,2006,12,-0.16,0.14,1,NH05,3.64158115,0.6666659477,1.755686269,1.7414133248
01/16/2007,2007,1,-0.41,0.01,0.7,NH05,0,0,1.2041575635,1.4470324894
02/16/2007,2007,2,-0.14,0.04,0.3,NH05,0,0,1.726306628,1.8044036322
03/16/2007,2007,3,-0.55,-0.36,0,NH05,9.2440136875,0.3948774612,1.4436352868,1.5798032293
04/16/2007,2007,4,0.26,0.16,-0.1,NH05,0,0,1.100306221,1.411166035
05/16/2007,2007,5,0.69,-0.1,-0.2,NH05,1.86249764,0.2729067205,0.8515934187,1.0279609339
06/16/2007,2007,6,1.23,0.09,-0.2,NH05,1.1319972475,0.1856417923,0.6201012003,0.9892006447
07/16/2007,2007,7,1.23,0.78,-0.3,NH05,0,0,0.6221884133,0.9628735598
08/16/2007,2007,8,1.44,0.5,-0.6,NH05,0,0,0.6092072137,0.9801899068
09/16/2007,2007,9,0.91,-0.36,-0.8,NH05,0,0,0.6536747065,0.9678627135
10/16/2007,2007,10,1.27,-1.45,-1.1,NH05,2.958084487,0.4199327976,1.420279466,1.5200199224
11/16/2007,2007,11,0.73,-1.08,-1.2,NH05,0,0,1.221906695,1.3553232214
12/16/2007,2007,12,0.46,-0.58,-1.3,NH05,0,0,1.56006653,1.5904303583
01/16/2008,2008,1,0.56,-1,-1.4,,,,,
02/16/2008,2008,2,1.14,-0.77,-1.3,NH05,0,0,1.4917752095,1.5760055811
03/16/2008,2008,3,1.37,-0.71,-1.1,NH05,3.096310185,0.2816565466,1.559240234,1.6264800286
04/16/2008,2008,4,1.4,-1.52,-0.9,NH05,0,0,0.7656442265,1.2128149835
05/16/2008,2008,5,1.74,-1.37,-0.7,NH05,10.263525351,0.840713198,0.8187365745,1.0495528728
06/16/2008,2008,6,1.28,-1.34,-0.5,NH05,23.738118205,1.2427700587,0.6539430187,0.8698570826
07/16/2008,2008,7,1.43,-1.67,-0.3,NH05,7.1420345635,0.7452130229,0.74380251,0.9613646433
08/16/2008,2008,8,2.14,-1.7,-0.2,NH05,6.354296716,0.6729886893,0.8680496257,1.185787754
09/16/2008,2008,9,2.23,-1.55,-0.2,NH05,0,0,0.8359500423,1.1294695352
10/16/2008,2008,10,1.77,-1.76,-0.3,NH05,17.064975288,0.77128814,1.1363803268,1.4097573933
11/16/2008,2008,11,1.97,-1.25,-0.5,NH05,3.5158502895,0.6543546095,1.8136016295,1.8416705185
12/16/2008,2008,12,0.45,-0.87,-0.7,NH05,8.085591821,0.9583532218,1.63449435,1.7511708464
01/16/2009,2009,1,0.72,-1.4,-0.8,NH05,1.9764779295,0.4685428012,1.596769201,1.6209798187
02/16/2009,2009,2,0.91,-1.55,-0.7,NH05,56.88071934,1.7617750906,1.4669595015,1.5310016439
03/16/2009,2009,3,0.33,-1.59,-0.4,NH05,0,0,1.697878922,1.7247830235
04/16/2009,2009,4,0.42,-1.65,-0.1,NH05,0,0,0.7425614745,0.9705317722
05/16/2009,2009,5,0.55,-0.88,0.2,NH05,23.309417974,1.2971307211,1.0763086873,1.318286341
06/16/2009,2009,6,0.37,-0.31,0.4,NH05,0,0,0.6621213497,0.8879900791
07/16/2009,2009,7,0.56,-0.53,0.5,NH05,0,0,0.6241880438,0.8697063034
08/16/2009,2009,8,0.72,0.09,0.6,NH05,0,0,0.710091472,1.0859436588
09/16/2009,2009,9,0.98,0.52,0.7,NH05,5.0995666363,0.6203958298,0.8599198187,1.2656860731
10/16/2009,2009,10,1.15,0.27,1,NH05,4.1049927705,0.4821294742,1.2309339835,1.4534562646
11/16/2009,2009,11,1.05,-0.4,1.2,NH05,1.347598637,0.2838188144,1.781454103,1.8920759551
12/16/2009,2009,12,1.06,0.08,1.3,NH05,1.3683309235,0.2862418989,1.5667002775,1.6582039933
01/16/2010,2010,1,2.06,0.83,1.3,,,,,
02/16/2010,2010,2,1.84,0.82,1.1,NH05,0,0,1.7668405715,1.8196026668
03/16/2010,2010,3,1.65,0.44,0.8,NH05,0,0,1.416061147,1.5893545444
04/16/2010,2010,4,1.18,0.78,0.5,NH05,5.867409706,0.8367929579,1.596503499,1.6951209965
05/16/2010,2010,5,1.87,0.62,0,NH05,9.8064853233,0.4943838142,0.959552776,1.312364759
06/16/2010,2010,6,1.24,-0.22,-0.4,NH05,24.40498119,0.966599985,1.0168206895,1.527490003
07/16/2010,2010,7,1.15,-1.05,-0.8,NH05,1.4855060298,0.2103715296,0.7513186953,0.9978016838
08/16/2010,2010,8,1.08,-1.27,-1.1,NH05,0,0,0.782160918,1.1577846509
09/16/2010,2010,9,1,-1.61,-1.3,NH05,12.931933268,0.7009660094,0.827046539,1.3336581546
10/16/2010,2010,10,1.61,-1.06,-1.4,NH05,0,0,0.7419117035,1.0333828099
11/16/2010,2010,11,0.99,-0.82,-1.3,NH05,9.8473144415,0.8670138455,1.865076608,1.8468041269
12/16/2010,2010,12,0.78,-1.21,-1.4,,,,,
01/16/2011,2011,1,0.32,-0.92,-1.3,NH05,8.4119474495,0.9500217132,1.681946907,1.7080035651
02/16/2011,2011,2,0.55,-0.83,-1.1,NH05,12.215548333,1.1070033569,1.337126978,1.3771190585
03/16/2011,2011,3,1.2,-0.69,-0.8,NH05,0,0,,1.7618487972
04/16/2011,2011,4,0.6,-0.42,-0.6,NH05,4.548349535,0.5020897062,1.6884916585,1.7241441478
05/16/2011,2011,5,1.39,-0.37,-0.3,NH05,0,0,0.7390071235,1.1391796936
06/16/2011,2011,6,1.11,-0.69,-0.2,NH05,220.65492286,2.0618698268,0.7321655027,0.9788196468
07/16/2011,2011,7,1.04,-1.86,-0.3,NH05,10.97189581,0.6803325948,0.684083702,0.9196365167
08/16/2011,2011,8,1.04,-1.74,-0.5,NH05,0,0,0.623890505,0.8299243652
09/16/2011,2011,9,1.33,-1.79,-0.7,NH05,0,0,1.0412350864,1.2866310239
10/16/2011,2011,10,1.2,-1.34,-0.9,NH05,1.4047593755,0.2904350578,1.097369661,1.3592221923
11/16/2011,2011,11,0.37,-2.33,-0.9,NH05,6.11796928,0.8523561093,1.779132711,1.7796512306
12/16/2011,2011,12,0.13,-1.79,-0.8,NH05,0,0,1.123194902,1.3133435301
01/16/2012,2012,1,0.83,-1.38,-0.7,NH05,30.49425203,1.4982312986,1.656433237,1.6683232819
02/16/2012,2012,2,0.86,-0.85,-0.6,NH05,8.403069148,0.9732696298,1.565691565,1.6219496682
03/16/2012,2012,3,1.12,-1.05,-0.5,NH05,0,0,1.3367994195,1.5555700971
04/16/2012,2012,4,1.93,-0.27,-0.4,NH05,0,0,1.6747578715,1.7617754187
05/16/2012,2012,5,1.63,-1.26,-0.3,NH05,5.4774906023,0.6220399458,1.0097928733,1.330768238
06/16/2012,2012,6,1.94,-0.87,-0.1,NH05,15.206014963,1.1909948485,0.909659097,1.3423942029
07/16/2012,2012,7,1.86,-1.52,0.1,NH05,2.1102082003,0.2883803267,,0.956204971
08/16/2012,2012,8,1.73,-1.93,0.3,NH05,0,0,0.631044949,0.9996859427
09/16/2012,2012,9,1.36,-2.21,0.4,NH05,3.1300709073,0.4891020367,0.7058426035,0.8874143525
10/16/2012,2012,10,1.87,-0.79,0.4,NH05,0,0,1.370085534,1.4208789359
11/16/2012,2012,11,1.4,-0.59,0.2,NH05,24.116664275,0.8461295992,1.837587609,1.8545015173
12/16/2012,2012,12,1.2,-0.48,-0.2,NH05,1.58265615,0.4120665889,1.74319177,1.7426820553
01/16/2013,2013,1,1.23,-0.14,-0.4,NH05,19.84457018,1.3189929443,1.589147407,1.62724281
02/16/2013,2013,2,1.2,-0.43,-0.5,NH05,41.48508913,1.6282365337,1.074574348,1.4318244323
03/16/2013,2013,3,0.64,-0.63,-0.3,NH05,36.08838243,1.5283812383,1.413399974,1.4726670605
04/16/2013,2013,4,0.48,-0.16,-0.2,NH05,36.65748598,1.5093420882,0.688186272,0.9869237572
05/16/2013,2013,5,0.85,0.08,-0.2,NH05,20.058910935,0.8070150504,0.888953566,1.260247868
06/16/2013,2013,6,0.73,-0.78,-0.2,NH05,4.5650324553,0.5938166432,0.9164485763,1.291954997
07/16/2013,2013,7,0.45,-1.25,-0.2,NH05,3.2164179627,0.342439727,0.6205969115,0.7687831706
08/16/2013,2013,8,0.56,-1.04,-0.2,NH05,9.010838895,0.6396244104,0.629718194,0.9586156054
09/16/2013,2013,9,0.39,-0.48,-0.2,NH05,0,0,1.3123036045,1.4982163417
10/16/2013,2013,10,-0.15,-0.87,-0.2,NH05,2.6514652385,0.3997712584,1.268687055,1.4085829624
11/16/2013,2013,11,-0.8,-0.11,-0.2,NH05,13.4561856,0.722898366,1.5697530075,1.5619679373
12/16/2013,2013,12,-1.45,-0.41,-0.3,NH05,3.712051435,0.6732100224,1.222093954,1.4373539562
01/16/2014,2014,1,-0.39,0.3,-0.5,NH05,0,0,1.475096432,1.5180858421
02/16/2014,2014,2,-0.27,0.38,-0.6,NH05,0,0,1.551080006,1.6499307698
03/16/2014,2014,3,-0.45,0.97,-0.4,NH05,0,0,1.866988385,1.8700876797
04/16/2014,2014,4,-0.62,1.13,-0.2,NH05,16.582620256,1.0752323176,1.8470290725,1.8707882474
05/16/2014,2014,5,0.23,1.8,0,NH05,129.49995171,1.9077543912,1.5189689565,1.730455342
06/16/2014,2014,6,-0.42,0.82,0,NH05,2.461903504,0.4522198251,0.712691102,0.9493666318
07/16/2014,2014,7,-0.13,0.7,0,NH05,12.703664125,0.7108622319,0.697091948,1.2235080186
08/16/2014,2014,8,-0.55,0.67,0,NH05,0,0,0.7625875275,1.0677692844
09/16/2014,2014,9,-0.78,1.08,0.2,NH05,7.486257473,0.6985956462,1.4167087483,1.6049620533
10/16/2014,2014,10,0.42,1.49,0.4,NH05,0,0,1.6155454145,1.7459165992
11/16/2014,2014,11,0.31,1.72,0.6,NH05,0,0,1.994510853,2.0172780125
12/16/2014,2014,12,-0.24,2.51,0.6,NH05,0,0,1.790997902,1.7732002376
01/16/2015,2015,1,-1.11,2.45,0.5,NH05,0.8608729447,0.1847335349,1.896674912,1.8844708164
02/16/2015,2015,2,-1.47,2.3,0.4,NH05,0,0,1.7893488755,1.8951032703
03/16/2015,2015,3,-1.79,2,0.5,NH05,3.2954225525,0.4401450648,1.495941342,1.5427900707
04/16/2015,2015,4,-1.39,1.44,0.7,NH05,0,0,1.1064839835,1.3770165331
05/16/2015,2015,5,-0.52,1.2,0.9,NH05,8.47202984,0.4739561759,0.7664122433,0.9231369184
06/16/2015,2015,6,-0.95,1.54,1,NH05,1.451150763,0.2428779788,0.801685391,0.9489908361
07/16/2015,2015,7,-1.06,1.84,1.2,NH05,25.03380602,1.3715337277,0.9332833337,1.2479463685
08/16/2015,2015,8,-1.6,1.56,1.5,NH05,205.31088387,2.2676366784,0.8938475233,1.1806566974
09/16/2015,2015,9,-2.05,1.94,1.8,NH05,54.754532886,1.5204390237,0.940880949,1.2259406721
10/16/2015,2015,10,-2.16,1.47,2.1,NH05,98.607265105,1.9965056961,1.0694891505,1.4441385177
11/16/2015,2015,11,-2.25,0.86,2.2,NH05,2.488723648,0.5426665691,1.700113191,1.8255481312
12/16/2015,2015,12,-1.11,1.01,2.3,,,,,
01/16/2016,2016,1,1.06,1.53,2.2,NH05,0,0,1.751042478,1.868405915
02/16/2016,2016,2,0.06,1.75,1.9,NH05,0,0,,2.1305826627
03/16/2016,2016,3,0.7,2.4,1.5,NH05,0,0,1.893789427,1.927014627
04/16/2016,2016,4,-0.17,2.62,1.1,NH05,0,0,1.5265252177,1.752927997
05/16/2016,2016,5,-0.39,2.35,0.6,NH05,4.3459651435,0.4932051408,0.7894999025,1.2576448641
06/16/2016,2016,6,-0.07,2.03,0,NH05,9.5555825003,0.9720860954,0.707747181,1.0179743238
07/16/2016,2016,7,-0.01,1.25,-0.3,NH05,14.35242679,1.1861770351,0.632649041,0.9120010089
08/16/2016,2016,8,-0.34,0.52,-0.6,NH05,5.303348515,0.7918215485,0.7102566945,0.9327653054
09/16/2016,2016,9,-0.87,0.45,-0.7,NH05,190.80359625,2.2779233207,0.775689913,1.2669160649
10/16/2016,2016,10,0.05,0.56,-0.7,NH05,162.3487502,2.213115816,1.359395476,1.8005294771
11/16/2016,2016,11,1.37,1.88,-0.7,NH05,50.78739636,1.7142240772,2.040536002,2.0382046004
12/16/2016,2016,12,-1.5,1.17,-0.6,NH05,1.424591011,0.3846384907,1.925517588,1.8526492911
01/16/2017,2017,1,-0.61,0.77,-0.3,NH05,32.8164735,1.5291283159,1.664033492,1.7651905109
02/16/2017,2017,2,-0.44,0.7,-0.1,NH05,6.3647255493,0.5864771144,1.7364953907,1.7504549172
03/16/2017,2017,3,,0.74,0.1,NH05,20.24776992,1.327313355,1.777249321,1.8005537623
04/16/2017,2017,4,,1.12,0.3,NH05,10.648285728,0.9781376655,1.8329466905,1.867298596
05/16/2017,2017,5,,0.88,0.4,NH05,0,0,0.757236882,1.1990766142
06/16/2017,2017,6,,0.79,0.4,NH05,17.39983146,1.2648138449,0.928246846,1.2455382916
07/16/2017,2017,7,,0.1,0.1,NH05,34.584266897,1.512070546,0.6596923227,0.8854415776
08/16/2017,2017,8,,0.09,-0.2,NH05,4.36878885,0.7298763239,0.618681509,0.9245840908
09/16/2017,2017,9,,0.32,-0.4,NH05,89.517755995,1.9450592008,0.812431021,1.218664764
10/16/2017,2017,10,,0.05,-0.7,NH05,51.664235595,1.7120285116,1.297865649,1.4794004277
11/16/2017,2017,11,,0.15,-0.9,NH05,27.12046874,1.4490225557,1.283030955,1.5582595111
12/16/2017,2017,12,,0.5,-1,NH05,5.524873307,0.8144728778,1.5903902775,1.6841685123
01/16/2018,2018,1,,0.7,-0.9,,,,,
02/16/2018,2018,2,,0.37,-0.8,NH05,10.977981605,0.68044776,1.3444557085,1.5567470029
03/16/2018,2018,3,,-0.05,-0.6,NH05,73.751238295,1.7879202782,1.73916464,1.7397363406
04/16/2018,2018,4,,0.11,-0.4,NH05,253.03903346,1.9966856662,1.291007357,1.4883329881
05/16/2018,2018,5,,0.11,-0.1,NH05,35.609021567,1.1551993062,0.7387735265,1.225116432
06/16/2018,2018,6,,-0.04,,NH05,62.04792106,1.7996707707,0.674879961,0.7702569892
07/16/2018,2018,7,,0.11,,NH05,0,0,0.608118868,0.8443846464
